COUNTRY_REGION,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANTIGUA_AND_BARBUDA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BHUTAN
2020-01-01,3569,3520,4014,4621,4207,920,3262,3476,3789,1911,3840,4246,3403,4258,3734,4037,1414,4057,2349,134
2020-01-02,2361,3740,4540,500,3037,3910,2364,2639,890,4975,2173,1116,841,1181,3624,611,1897,3474,249,4068
2020-01-03,3185,727,1392,701,489,2526,1810,2934,736,272,4684,4197,1482,4839,2671,4234,1416,4282,1126,1694
2020-01-04,2941,4724,447,2225,428,593,518,187,95,2571,4425,900,2651,3502,4412,1462,1285,1027,3392,3472
2020-01-05,3261,3061,1820,2138,1912,3711,2091,3346,210,4842,312,736,1720,1514,3998,2993,569,1620,795,4864
2020-01-06,297,4508,2572,1284,3863,835,2330,4128,2581,4202,478,2298,1864,476,4616,1713,4,3850,3762,3672
2020-01-07,4800,1157,4327,4424,1689,1966,4242,3812,4836,4992,4508,2860,4462,3361,2381,4893,1382,363,940,1975
2020-01-08,861,1589,3903,1858,3083,4530,3406,3853,2793,2788,4814,1700,4135,2049,4022,4637,525,4021,2225,1959
2020-01-09,4870,535,3179,982,2539,4282,2258,4476,3955,4473,2927,1876,4025,3878,3340,1392,4987,4945,2758,2142
2020-01-10,3531,3431,1796,2929,3308,135,925,1384,3399,3345,4666,2764,2646,1883,2855,1841,2489,2653,3408,3161
2020-01-11,2494,3408,3102,1440,4606,2658,3178,4057,4637,2981,802,3684,426,4869,543,2343,4062,3075,4132,4931
2020-01-12,2121,2050,29,3022,227,796,759,2368,803,3206,1559,4235,4442,2639,3314,761,4818,4683,3956,2081
2020-01-13,4674,2653,958,356,1986,2685,3143,2921,109,4496,4543,2266,2173,1646,2461,4088,69,2819,4402,2280
2020-01-14,1940,642,208,3075,3251,961,2738,1521,3798,4825,4209,529,2220,2792,1831,710,418,2683,2904,2408
2020-01-15,345,2732,3667,3772,1253,732,4643,3891,2297,3829,188,3804,3663,2628,1578,948,84,3134,1480,4680
2020-01-16,2341,597,2814,3601,3497,4565,2771,1959,3324,1541,4324,4806,2170,497,3517,952,1908,3904,2895,4627
2020-01-17,4358,4959,3656,2590,906,4391,4481,4136,1304,3554,1850,3858,3269,793,2610,2523,4711,4951,3708,3864
2020-01-18,2115,2001,3763,1393,4554,1508,383,4507,1865,1627,364,1045,2572,1146,3314,2411,2544,4869,1091,4576
2020-01-19,451,4672,3145,4885,4607,3598,1588,495,2011,2196,3095,2005,3628,4419,3846,3192,2943,1057,4153,3560
2020-01-20,1186,992,4691,144,4624,2815,4372,168,1847,3563,851,4430,1687,3649,3162,886,2142,2942,352,310
2020-01-21,163,1727,2093,17,3027,2609,4666,953,3728,1415,516,2520,4740,1720,2145,4587,4080,1803,1003,79
