COUNTRY,ISO_CODE,DATE,TOTAL_VACCINATIONS,PEOPLE_VACCINATED,PEOPLE_FULLY_VACCINATED,DAILY_VACCINATIONS_RAW,DAILY_VACCINATIONS,TOTAL_VACCINATIONS_PER_HUNDRED,PEOPLE_VACCINATED_PER_HUNDRED,PEOPLE_FULLY_VACCINATED_PER_HUNDRED,DAILY_VACCINATIONS_PER_MILLION,VACCINES,SOURCE_NAME,SOURCE_WEBSITE
AFGHANISTAN,AFG,2021-01-01,35318.0,21190.8,14127.2,35318.0,35318.0,0.35,0.21,0.14,3531.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-02,65309.0,39185.4,26123.600000000002,29991.0,29991.0,0.65,0.39,0.26,2999.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-03,94583.0,56749.799999999996,37833.200000000004,29274.0,29274.0,0.95,0.57,0.38,2927.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-04,123857.0,74314.2,49542.8,29274.0,29274.0,1.24,0.74,0.5,2927.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-05,145497.0,87298.2,58198.8,21640.0,21640.0,1.45,0.87,0.58,2164.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-06,195099.0,117059.4,78039.6,49602.0,49602.0,1.95,1.17,0.78,4960.2,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-07,218870.0,131322.0,87548.0,23771.0,23771.0,2.19,1.31,0.88,2377.1,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-08,236914.0,142148.4,94765.6,18044.0,18044.0,2.37,1.42,0.95,1804.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-09,243960.0,146376.0,97584.0,7046.0,7046.0,2.44,1.46,0.98,704.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-10,282613.0,169567.8,113045.20000000001,38653.0,38653.0,2.83,1.7,1.13,3865.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-11,326563.0,195937.8,130625.20000000001,43950.0,43950.0,3.27,1.96,1.31,4395.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-12,355343.0,213205.8,142137.2,28780.0,28780.0,3.55,2.13,1.42,2878.0,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-13,367518.0,220510.8,147007.2,12175.0,12175.0,3.68,2.21,1.47,1217.5,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-14,411594.0,246956.4,164637.6,44076.0,44076.0,4.12,2.47,1.65,4407.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-15,453280.0,271968.0,181312.0,41686.0,41686.0,4.53,2.72,1.81,4168.6,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-16,487567.0,292540.2,195026.80000000002,34287.0,34287.0,4.88,2.93,1.95,3428.7,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-17,499421.0,299652.6,199768.40000000002,11854.0,11854.0,4.99,3.0,2.0,1185.4,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-18,514144.0,308486.39999999997,205657.6,14723.0,14723.0,5.14,3.08,2.06,1472.3,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-19,559962.0,335977.2,223984.80000000002,45818.0,45818.0,5.6,3.36,2.24,4581.8,PFIZER,WHO,HTTPS://WHO.INT
AFGHANISTAN,AFG,2021-01-20,562866.0,337719.6,225146.40000000002,2904.0,2904.0,5.63,3.38,2.25,290.4,PFIZER,WHO,HTTPS://WHO.INT
